,Date,Unix,Ticker,DE Ratio,Price,stock_p_change,SP500,sp500_p_change,Difference,Status
228,2003-10-03 17:23:47,1065227027.0,aes,101.18,7.96,0.0,995.969971,0.0,0.0,
229,2003-12-15 21:31:38,1071552698.0,aes,29.748,8.39,5.40201005025,1074.140015,7.84863462515,-2.4466245749,
230,2004-12-05 09:19:07,1102267147.0,aes,12.944,12.42,56.0301507538,1190.329956,19.5146430775,36.5155076762,
231,2005-02-18 08:12:43,1108743163.0,aes,10.698,16.48,107.035175879,1210.119995,21.501654692,85.5335211874,
232,2007-02-19 02:26:15,1171880775.0,aes,6.513,22.3,180.150753769,1455.540039,46.1429642842,134.007789485,
233,2011-05-23 09:17:49,1306167469.0,aes,178.11,13.02,63.567839196,1333.27002,33.8664878281,29.7013513679,
234,2011-07-24 02:55:42,1311501342.0,aes,178.11,12.68,59.2964824121,1343.800049,34.9237515315,24.3727308806,
235,2013-05-23 20:50:51,1369367451.0,aes,279.88,12.9,62.0603015075,1666.290039,67.3032408123,-5.24293930473,
236,2004-02-15 08:22:54,1076862174.0,aet,0.211,77.5,0.0,1152.109985,0.0,0.0,
237,2005-02-04 06:20:07,1107526807.0,aet,0.178,130.85,68.8387096774,1189.410034,3.23754237752,65.6011672999,
238,2005-04-08 02:12:37,1112951557.0,aet,0.177,76.32,-1.52258064516,1181.390015,2.54142663298,-4.06400727814,
239,2005-09-23 17:26:49,1127521609.0,aet,0.17,82.71,6.72258064516,1221.339966,6.00897326656,0.713607378603,
240,2006-05-07 11:34:24,1147026864.0,aet,0.172,37.99,-50.9806451613,1312.25,13.8997159199,-64.8803610812,
241,2007-01-25 23:46:33,1169797593.0,aet,0.253,41.1,-46.9677419355,1422.949951,23.5081693177,-70.4759112532,
242,2007-04-06 18:34:03,1175909643.0,aet,0.272,45.0,-41.935483871,1437.77002,24.7945108296,-66.7299947006,
243,2008-02-22 22:13:00,1203747180.0,aet,0.31,50.13,-35.3161290323,1348.780029,17.0704226646,-52.3865516968,
244,2008-11-01 10:58:06,1225562286.0,aet,0.389,24.87,-67.9096774194,930.090027,-19.2707259629,-48.6389514565,
245,2009-10-02 08:48:44,1254498524.0,aet,0.389,27.58,-64.4129032258,1060.609985,-7.94195009082,-56.470953135,
246,2009-10-15 09:39:45,1255624785.0,aet,0.389,26.03,-66.4129032258,1076.189941,-6.58965246274,-59.8232507631,
247,2003-10-03 17:29:50,1065227390.0,afl,0.173,33.43,0.0,995.969971,0.0,0.0,
248,2003-12-07 12:26:30,1070828790.0,afl,0.206,35.47,6.10230332037,1069.719971,7.4048417269,-1.30253840653,
249,2004-06-27 21:50:24,1088398224.0,afl,0.203,40.4,20.8495363446,1140.650024,14.5265477085,6.32298863607,
250,2004-08-29 05:10:22,1093781422.0,afl,0.226,39.99,19.6230930302,1105.089966,10.9561531148,8.66693991543,
251,2005-03-17 18:20:48,1111112448.0,afl,0.189,38.22,14.3284475022,1206.829956,21.1713195317,-6.84287202944,
252,2005-08-28 22:41:53,1125294113.0,afl,0.162,43.93,31.408914149,1212.369995,21.7275651175,9.68134903144,
253,2006-02-02 01:16:50,1138871810.0,afl,0.162,47.17,41.1008076578,1285.189941,29.0390251133,12.0617825445,
254,2006-05-28 02:32:55,1148808775.0,afl,0.185,46.78,39.9341908465,1272.880005,27.8030504998,12.1311403467,
255,2007-04-08 10:16:28,1176052588.0,afl,0.171,47.92,43.3443015256,1443.76001,44.9601947888,-1.61589326327,
256,2009-01-29 12:02:15,1233259335.0,afl,0.241,25.06,-25.0373915645,836.570007,-16.0044949789,-9.03289658557,
257,2011-12-30 09:10:57,1325265057.0,afl,33.03,43.27,29.4346395453,1265.430054,27.0550408994,2.3795986459,
258,2003-11-17 22:46:03,1069137963.0,agn,0.739,76.65,0.0,1050.349976,0.0,0.0,
259,2004-06-19 14:49:29,1087681769.0,agn,0.695,91.42,19.2694063927,1133.560059,7.92212928084,11.3472771119,
260,2005-03-10 01:40:57,1110447657.0,agn,0.522,75.47,-1.53946510111,1225.310059,16.6573129907,-18.1967780918,
261,2005-04-04 23:20:33,1112682033.0,agn,0.522,69.07,-9.88910632746,1172.920044,11.6694502595,-21.558556587,
262,2005-08-29 12:42:47,1125344567.0,agn,0.51,92.83,21.1089367254,1205.099976,14.7331845133,6.37575221203,
263,2007-04-06 22:28:10,1175923690.0,agn,0.544,113.52,48.1017612524,1437.77002,36.8848529397,11.2169083127,
264,2008-02-16 18:44:49,1203216289.0,agn,0.436,63.89,-16.647097195,1367.209961,30.1670864226,-46.8141836177,
265,2008-05-17 08:24:31,1211037871.0,agn,0.429,54.11,-29.4063926941,1408.660034,34.1133970759,-63.51978977,
266,2012-08-11 08:06:33,1344697593.0,agn,28.52,85.61,11.6894977169,1402.219971,33.5002621069,-21.81076439,
267,2013-04-22 02:49:52,1366624192.0,agn,26.63,113.74,48.3887801696,1555.25,48.0696944387,0.319085730917,
268,2013-05-12 05:08:18,1368360498.0,agn,40.37,104.18,35.9165035877,1626.670044,54.869336999,-18.9528334112,
269,2004-02-15 09:40:39,1076866839.0,aig,1.15,74.72,0.0,1152.109985,0.0,0.0,
270,2005-04-28 12:07:20,1114715240.0,aig,1.162,51.85,-30.6076017131,1162.099976,0.867103933658,-31.4747056467,
271,2006-01-07 18:38:22,1136687902.0,aig,1.294,70.11,-6.16970021413,1273.459961,10.5328464799,-16.7025466941,
272,2006-06-17 17:06:59,1150589219.0,aig,1.384,59.87,-19.8741970021,1230.040039,6.7641158409,-26.638312843,
273,2007-03-15 06:01:57,1173963717.0,aig,1.687,67.0,-10.3319057816,1406.599976,22.0890361435,-32.4209419251,
274,2007-05-04 05:36:10,1178282170.0,aig,1.687,70.65,-5.44700214133,1486.300049,29.0067847993,-34.4537869406,
275,2007-07-06 07:35:21,1183732521.0,aig,1.614,70.27,-5.95556745182,1524.869995,32.354550768,-38.3101182198,
276,2008-05-23 12:57:40,1211572660.0,aig,2.282,37.81,-49.397751606,1413.400024,22.6792617373,-72.0770133433,
277,2008-09-21 02:42:52,1221990172.0,aig,2.411,3.85,-94.8474304069,1206.51001,4.72177359004,-99.5692039969,
278,2008-10-27 11:48:40,1225133320.0,aig,2.411,1.7,-97.7248394004,876.77002,-23.8987569403,-73.8260824601,
279,2008-12-19 05:47:27,1229694447.0,aig,3.273,1.67,-97.7649892934,913.179993,-20.7384707286,-77.0265185648,
280,2011-04-29 00:43:45,1304063025.0,aig,95.52,31.8,-57.4411134904,1347.23999,16.9367514856,-74.3778649759,
281,2011-09-02 15:22:28,1315002148.0,aig,85.55,24.08,-67.7730192719,1212.920044,5.27814703385,-73.0511663058,
282,2011-11-03 02:27:12,1320312432.0,aig,76.86,24.19,-67.6258029979,1253.300049,8.78302118005,-76.4088241779,
283,2011-11-04 17:31:20,1320453080.0,aig,76.86,23.75,-68.2146680942,1218.280029,5.7433790924,-73.9580471866,
284,2012-01-02 19:39:36,1325561976.0,aig,81.27,23.2,-68.9507494647,1257.599976,9.15624309948,-78.1069925641,
285,2012-03-10 07:53:56,1331394836.0,aig,66.35,28.25,-62.1921841542,1352.630005,17.4045900661,-79.5967742203,
286,2012-07-01 20:48:59,1341200939.0,aig,74.18,32.09,-57.0529978587,1329.040039,15.3570454474,-72.410043306,
287,2012-07-13 10:02:58,1342198978.0,aig,74.18,30.47,-59.2210920771,1341.469971,16.4359295957,-75.6570216728,
288,2012-11-12 11:30:45,1352748645.0,aig,71.9,32.17,-56.9459314775,1379.849976,19.7672092044,-76.7131406819,
289,2013-04-22 02:32:25,1366623145.0,aig,48.99,38.88,-47.965738758,1555.25,34.9914522267,-82.9571909847,
290,2013-05-11 13:26:32,1368303992.0,aig,45.01,44.18,-40.8725910064,1632.689941,41.7130275978,-82.5856186042,
